127.0.0.1 - - [21/Jul/2024:21:15:14 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:15:24 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestMain.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:15:33 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:18:12 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestMain.jsp HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:18:30 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:18:34 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:25:36 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestMain.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:25:51 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestParameter.jsp HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:26:04 +0900] "GET /MustHaveJSP/02ImplicitObject/requestHeader.jsp HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:26:27 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:32:14 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:34:18 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:34:47 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestParameter.jsp HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [21/Jul/2024:21:34:58 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [21/Jul/2024:22:02:36 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [21/Jul/2024:22:02:39 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [21/Jul/2024:22:02:41 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [21/Jul/2024:22:04:35 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [21/Jul/2024:22:05:05 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 200 810
